"doi","nm","all_names","title","journal","year"
"10.1038/s41598-020-80164-w","Quartey","Maa O. Quartey, Jennifer N. K. Nyarko, Jason M. Maley, Jocelyn R. Barnes, Maria A. C. Bolanos, Ryan M. Heistad, Kaeli J. Knudsen, Paul R. Pennington, Josef Buttigieg, Carlos E. De Carvalho, Scot C. Leary, Matthew P. Parsons, Darrell D. Mousseau","The Aβ(1–38) peptide is a negative regulator of the Aβ(1–42) peptide implicated in Alzheimer disease progression","Scientific Reports",2021
"10.1038/s41598-020-77409-z","Mucibabic","Marija Mucibabic, Pär Steneberg, Emmelie Lidh, Jurate Straseviciene, Agnieszka Ziolkowska, Ulf Dahl, Emma Lindahl, Helena Edlund","α-Synuclein promotes IAPP fibril formation in vitro and β-cell amyloid formation in vivo in mice","Scientific Reports",2020
"10.1073/pnas.1610371113","Horvath","Istvan Horvath, Pernilla Wittung-Stafshede","Cross-talk between amyloidogenic proteins in type-2 diabetes and Parkinson’s disease","Proceedings of the National Academy of Sciences",2016
"10.1007/s00401-015-1525-x","Vasconcelos","Bruno Vasconcelos, Ilie-Cosmin Stancu, Arjan Buist, Matthew Bird, Peng Wang, Alexandre Vanoosthuyse, Kristof Van Kolen, An Verheyen, Pascal Kienlen-Campard, Jean-Noël Octave, Peter Baatsen, Diederik Moechars, Ilse Dewachter","Heterotypic seeding of Tau fibrillization by pre-aggregated Abeta provides potent seeds for prion-like seeding and propagation of Tau-pathology in vivo","Acta Neuropathologica",2016
"10.1074/jbc.m112.383737","Zhou","Yizhou Zhou, Daniel Smith, Bryan J. Leong, Kristoffer Brännström, Fredrik Almqvist, Matthew R. Chapman","Promiscuous Cross-seeding between Bacterial Amyloids Promotes Interspecies Biofilms","Journal of Biological Chemistry",2012
"10.7554/elife.53111","Sampson","Timothy R Sampson, Collin Challis, Neha Jain, Anastasiya Moiseyenko, Mark S Ladinsky, Gauri G Shastri, Taren Thron, Brittany D Needham, Istvan Horvath, Justine W Debelius, Stefan Janssen, Rob Knight, Pernilla Wittung-Stafshede, Viviana Gradinaru, Matthew Chapman, Sarkis K Mazmanian","A gut bacterial amyloid promotes α-synuclein aggregation and motor impairment in mice","eLife",2020
"10.1021/acsomega.6b00559","Hu","Rundong Hu, Baiping Ren, Mingzhen Zhang, Hong Chen, Yonglan Liu, Lingyun Liu, Xiong Gong, Binbo Jiang, Jie Ma, Jie Zheng","Seed-Induced Heterogeneous Cross-Seeding Self-Assembly of Human and Rat Islet Polypeptides","ACS Omega",2017
"10.1074/jbc.m114.574947","Luo","Jinghui Luo, Sebastian K.T.S. Wärmländer, Astrid Gräslund, Jan Pieter Abrahams","Non-chaperone Proteins Can Inhibit Aggregation and Cytotoxicity of Alzheimer Amyloid β Peptide","Journal of Biological Chemistry",2014
"10.1038/s41598-017-05829-5","Keefer","Kathryn M. Keefer, Kevin C. Stein, Heather L. True","Heterologous prion-forming proteins interact to cross-seed aggregation in Saccharomyces cerevisiae","Scientific Reports",2017
"10.1002/anie.201704618","Barritt","Joseph D. Barritt, Nadine D. Younan, John H. Viles","N‐Terminally Truncated Amyloid‐β             <sub>               (11               <b>–</b>               40/42)             </sub>             Cofibrillizes with its Full‐Length Counterpart: Implications for Alzheimer's Disease","Angewandte Chemie International Edition",2017
"10.3389/fmolb.2020.00206","Rahimi Araghi","Lida Rahimi Araghi, Derek R. Dee","Cross-Species and Cross-Polymorph Seeding of Lysozyme Amyloid Reveals a Dominant Polymorph","Frontiers in Molecular Biosciences",2020
