"interactor_name","interactee_name","aggregation_speed","elongates_by_attaching","heterogenous_fibers","doi"
"Protein 1","Protein 1","Faster aggregation","Formation of fibrils by the interactee is inhibited","no information","doi118"
"Protein 1","Protein 10","No information","No information","no","doi89"
"Protein 1","Protein 2","No effect","Yes, implied by kinetics","yes","doi51"
"Protein 8","Protein 1","No effect","No information","no","doi66"
"Protein 1","Protein 5","Faster aggregation","No","no","doi48"
"Protein 1","Protein 7","No effect","Yes, implied by kinetics","no","doi88"
"Protein 2","Protein 1","No information","No","no","doi71"
"Protein 5","Protein 1","No aggregation","Yes, implied by kinetics","no","doi114"
"Protein 3","Protein 1","No aggregation","Yes, direct evidence","yes","doi108"
"Protein 1","Protein 6","No information","Yes, direct evidence","no information","doi96"
"Protein 4","Protein 1","No aggregation","Yes, implied by kinetics","no","doi8"
"Protein 5","Protein 2","Faster aggregation","Yes, direct evidence","yes","doi126"
"Protein 2","Protein 4","Faster aggregation","Yes, implied by kinetics","no","doi94"
"Protein 3","Protein 9","No effect","No","no","doi54"
"Protein 1","Protein 9","No information","Yes, direct evidence","no information","doi133"
"Protein 2","Protein 3","No effect","No information","no information","doi13"
"Protein 9","Protein 9","Faster aggregation","No information","no information","doi24"
"Protein 1","Protein 5","No information","Yes, direct evidence","yes","doi94"
"Protein 10","Protein 2","No aggregation","Yes, implied by kinetics","no","doi96"
"Protein 3","Protein 1","No effect","Formation of fibrils by the interactee is inhibited","no","doi51"
"Protein 5","Protein 2","No effect","No","no","doi8"
"Protein 5","Protein 2","No effect","No","no information","doi128"
"Protein 6","Protein 9","No aggregation","Yes, direct evidence","yes","doi97"
"Protein 2","Protein 2","No aggregation","Formation of fibrils by the interactee is inhibited","yes","doi97"
"Protein 10","Protein 2","No aggregation","No","no information","doi24"
"Protein 1","Protein 1","Faster aggregation","No","no information","doi32"
"Protein 1","Protein 2","No effect","Yes, implied by kinetics","yes","doi125"
"Protein 5","Protein 10","No information","Yes, direct evidence","yes","doi81"
"Protein 8","Protein 2","No aggregation","No information","no","doi23"
"Protein 1","Protein 9","Faster aggregation","No information","yes","doi119"
"Protein 2","Protein 2","No effect","Yes, implied by kinetics","no information","doi12"
"Protein 3","Protein 5","No effect","Yes, direct evidence","yes","doi37"
"Protein 7","Protein 6","No effect","Yes, implied by kinetics","no information","doi23"
"Protein 1","Protein 3","No information","No","no information","doi49"
"Protein 1","Protein 1","Slower aggregation","Formation of fibrils by the interactee is inhibited","yes","doi38"
"Protein 10","Protein 1","No effect","No information","yes","doi58"
"Protein 3","Protein 10","No information","No","no","doi132"
"Protein 1","Protein 9","No aggregation","No information","no","doi20"
"Protein 9","Protein 1","No aggregation","Yes, direct evidence","no","doi3"
"Protein 1","Protein 1","No effect","No","yes","doi130"
"Protein 6","Protein 2","No information","Yes, direct evidence","no","doi123"
"Protein 8","Protein 2","Slower aggregation","No information","no information","doi124"
"Protein 1","Protein 9","Faster aggregation","No","yes","doi62"
"Protein 7","Protein 2","No information","No","no information","doi95"
"Protein 6","Protein 3","No information","Yes, implied by kinetics","no information","doi59"
"Protein 2","Protein 2","Slower aggregation","No","yes","doi101"
"Protein 1","Protein 1","No aggregation","No","no","doi117"
"Protein 1","Protein 1","Faster aggregation","Yes, direct evidence","yes","doi95"
"Protein 2","Protein 1","Faster aggregation","Yes, direct evidence","yes","doi136"
"Protein 2","Protein 7","No aggregation","Yes, implied by kinetics","no information","doi43"
"Protein 4","Protein 2","No effect","No information","no information","doi73"
"Protein 3","Protein 1","No information","Formation of fibrils by the interactee is inhibited","no","doi128"
"Protein 1","Protein 2","No information","No information","yes","doi77"
"Protein 2","Protein 1","No aggregation","Formation of fibrils by the interactee is inhibited","yes","doi50"
"Protein 2","Protein 10","No effect","No","no","doi56"
"Protein 2","Protein 2","Faster aggregation","Formation of fibrils by the interactee is inhibited","yes","doi134"
"Protein 5","Protein 1","No information","Yes, implied by kinetics","no","doi52"
"Protein 3","Protein 3","Faster aggregation","No","no","doi104"
"Protein 1","Protein 1","No information","No information","yes","doi55"
"Protein 3","Protein 5","Slower aggregation","Yes, direct evidence","yes","doi83"
"Protein 5","Protein 6","No information","Yes, implied by kinetics","yes","doi56"
"Protein 3","Protein 8","No effect","No","yes","doi5"
"Protein 4","Protein 1","No aggregation","No","no","doi57"
"Protein 1","Protein 1","No aggregation","Yes, implied by kinetics","yes","doi4"
"Protein 2","Protein 6","No aggregation","Yes, direct evidence","no information","doi37"
"Protein 9","Protein 1","No aggregation","Yes, direct evidence","no information","doi20"
"Protein 6","Protein 1","No aggregation","Yes, implied by kinetics","no","doi79"
